,num_doc_mentioned
united states,3121
china,326
india,218
indonesia,213
brazil,154
morocco,124
peru,124
turkey,112
hong kong,106
oman,105
philippines,103
mali,97
argentina,96
japan,95
macau,88
mexico,86
russia,82
tunisia,81
romania,79
iran,78
colombia,77
poland,65
croatia,62
jordan,61
egypt,59
germany,59
ukraine,59
macedonia,46
chile,45
kazakhstan,45
pakistan,45
dominica,44
france,43
algeria,42
serbia,41
uruguay,35
cuba,34
belarus,32
ecuador,31
jamaica,30
latvia,29
panama,29
albania,27
armenia,27
paraguay,27
dominican republic,26
guatemala,26
hungary,26
mauritius,25
el salvador,24
georgia,24
azerbaijan,23
bulgaria,23
grenada,23
lebanon,23
uzbekistan,23
moldova,22
sweden,20
united kingdom,20
lithuania,19
gabon,18
guinea,18
papua new guinea,16
sudan,16
chad,15
finland,14
netherlands,14
saint lucia,14
syria,14
malaysia,13
niger,13
vietnam,13
angola,11
costa rica,11
estonia,11
iraq,11
spain,11
switzerland,11
australia,10
mongolia,10
nigeria,10
south africa,10
canada,9
mozambique,9
venezuela,9
zimbabwe,9
belize,8
ireland,8
seychelles,8
slovenia,8
barbados,7
cameroon,7
kuwait,7
bolivia,6
fiji,6
montserrat,6
saint vincent and the grenadines,6
slovakia,6
austria,5
cyprus,5
czech republic,5
honduras,5
italy,5
sri lanka,5
turkmenistan,5
greece,4
guyana,4
namibia,4
nicaragua,4
norway,4
swaziland,4
anguilla,3
benin,3
botswana,3
cote d'ivoire,3
denmark,3
ghana,3
gibraltar,3
lesotho,3
luxembourg,3
senegal,3
thailand,3
togo,3
tonga,3
west bank,3
zambia,3
burkina faso,2
burma,2
comoros,2
east timor,2
equatorial guinea,2
guam,2
kenya,2
madagascar,2
mauritania,2
new zealand,2
saudi arabia,2
suriname,2
tajikistan,2
tanzania,2
united arab emirates,2
yemen,2
bangladesh,1
cayman islands,1
eritrea,1
ethiopia,1
greenland,1
iceland,1
israel,1
kyrgyzstan,1
laos,1
liberia,1
libya,1
malawi,1
maldives,1
malta,1
nepal,1
new caledonia,1
portugal,1
rwanda,1
samoa,1
singapore,1
solomon islands,1
afghanistan,0
american samoa,0
andorra,0
antigua & barbuda,0
aruba,0
"bahamas, the",0
bahrain,0
belgium,0
bermuda,0
bhutan,0
bosnia & herzegovina,0
british virgin is.,0
brunei,0
burundi,0
cambodia,0
cape verde,0
central african rep.,0
"congo, dem. rep.",0
"congo, repub. of the",0
cook islands,0
djibouti,0
faroe islands,0
french guiana,0
french polynesia,0
"gambia, the",0
gaza strip,0
guadeloupe,0
guernsey,0
guinea-bissau,0
haiti,0
isle of man,0
jersey,0
kiribati,0
"korea, north",0
"korea, south",0
liechtenstein,0
marshall islands,0
martinique,0
mayotte,0
"micronesia, fed. st.",0
monaco,0
nauru,0
netherlands antilles,0
n. mariana islands,0
palau,0
puerto rico,0
qatar,0
reunion,0
saint helena,0
saint kitts & nevis,0
st pierre & miquelon,0
san marino,0
sao tome & principe,0
sierra leone,0
somalia,0
taiwan,0
trinidad & tobago,0
turks & caicos is,0
tuvalu,0
uganda,0
vanuatu,0
virgin islands,0
wallis and futuna,0
western sahara,0
